No,Active_Ingredient,Concentration,Drug_Name,License_Code,Form,Manufacturer,Made_In,Minimum_Unit,Quantity,Price_w_VAT,Price_Total,Bidder,Department_Hospital,Group,Year,Level,Fiscal_Year,code,Is_AB,Usage
57,Moxifloxacin,400mg/250ml,Avelox Inj 400mg250ml 1's,VN-18602-15,Hộp 1 chai 250ml; Dung dịch truyền; Tiêm truyền tĩnh mạch (IV),Bayer Pharma AG,Germany,Chai,1e3,367500,3675e5,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C57,TRUE,Injection
58,Ofloxacin,0.3%-5ml,Oflovid,VN-19341-15,"Hộp 1 lọ 5ml, Dung dịch nhỏ mắt, Nhỏ mắt","Santen Pharmaceutical Co., Ltd.- Nhà máy Noto",Japan,Lọ,6500,55872,363168e3,BD04. Vimedimex,BV Hữu Nghị,BDG,2016,national,2015-2016,C58,TRUE,Ocular/Otic route
60,Roxithromycin,150mg,Rulid 150mg,VD-22315-15,Hộp 01 vỉ x 10 viên nén bao phim,Roussel Việt Nam,Vietnam,Viên,1e3,4725,4725e3,BD08. Dược Sài Gòn,BV Hữu Nghị,BDG,2016,national,2015-2016,C60,TRUE,Oral
62,Teicoplanin,400mg,TARGOCID 400mg,VN-10554-10,Hộp 1 lọ bột + 1 ống nước cất pha tiêm 3ml; Bột đông khô pha tiêm; tiêm (IM & IV),Gruppo Lepetit S.R.L.,Italy,Lọ,100,43e4,43e6,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C62,TRUE,Injection
242,Moxifloxacin,0.5%-5ml,Vigamox,VN-15707-12,"Hộp 1 lọ 5ml, Dung dịch nhỏ mắt, Nhỏ mắt","Alcon Laboratories, Inc.",USA,Lọ,3e3,89999,269997e3,BD04. Vimedimex,BV Hữu Nghị,BDG,2016,national,2015-2016,C242,TRUE,Ocular/Otic route
272,Levofloxacin,0.5%-5ml,Cravit,VN-19340-15,"Hộp 1 lọ 5ml, Dung dịch nhỏ mắt, Nhỏ mắt","Santen Pharmaceutical Co., Ltd.- Nhà máy Noto",Japan,Lọ,200,81482,16296400,BD04. Vimedimex,BV Hữu Nghị,BDG,2016,national,2015-2016,C272,TRUE,Ocular/Otic route
273,Ofloxacin,0.3%-3.5g,Oflovid Ophthalmic Ointment,VN-18723-15,"Hộp 1 tuýp 3,5g, Thuốc mỡ tra mắt, Tra mắt",Santen Pharmaceutical Co. Ltd.,Japan,Tube,4e3,70307,281228e3,BD04. Vimedimex,BV Hữu Nghị,BDG,2016,national,2015-2016,C273,TRUE,Ocular/Otic route
343,Amikacin,500mg/2ml,Itamekacin,VD-18570-13,Hộp 5 ống x 2ml,Công ty TNHH sản xuất dược phẩm Medlac Pharma Italy,Vietnam,Ống,3e3,9210,2763e4,G48. Vạn Xuân,BV Hữu Nghị,3,2016,national,2015-2016,C343,TRUE,"NA"
344,Amikacin,500mg/2ml,Amikan,VN-17299-13,Hộp 1 ống,Anfarm Hellas S.A,Greece,Ống,3e3,36500,1095e5,G75. Nam Phượng,BV Hữu Nghị,1,2016,national,2015-2016,C344,TRUE,"NA"
345,Amoxicillin,500mg,Amoxicilin,VD-16901-12,Hộp 10 vỉ x 10 viên nang,Cty CPDP Hà Tây,Vietnam,Viên,9e5,506,4554e5,G59. Hà Tây,BV Hữu Nghị,3,2016,national,2015-2016,C345,TRUE,Oral
347,Ampicillin,1g,Ampicilin VCP,VD-14895-11,Hộp 50 lọ,VCP,Vietnam,Lọ,1e3,3400,34e5,G18. VCP,BV Hữu Nghị,3,2016,national,2015-2016,C347,TRUE,"NA"
348,Roxithromycin,500mg,Thromiz-500,VN-13866-11,"Uống, Hộp 1 vỉ x 3 viên nén bao phim",Sharon Bio-Medicine Ltd.,India,Viên,3e3,5990,1797e4,G56. Bến Tre,BV Hữu Nghị,2,2016,national,2015-2016,C348,TRUE,Oral
349,Cefalecin,500mg,Cephalexin 500mg,VD-16910-12,Hộp 10 vỉ x 10 viên nang,Cty CPDP Hà Tây,Vietnam,Viên,6e4,712,4272e4,G59. Hà Tây,BV Hữu Nghị,3,2016,national,2015-2016,C349,TRUE,Oral
350,Cefazolin,1g,Cefazolin VCP,VD-18399-13,Hộp 10 lọ,VCP,Vietnam,Lọ,3e3,7e3,21e6,G18. VCP,BV Hữu Nghị,3,2016,national,2015-2016,C350,TRUE,"NA"
351,Cefdinir,300mg,Midaxin 300,VD-22947-15,Hộp 1 vỉ x 10 viên nang,Công ty CPDP Minh Dân,Vietnam,Viên,500,3066,1533e3,G69. Minh Dân,BV Hữu Nghị,3,2016,national,2015-2016,C351,TRUE,Oral
352,Cefepime,1g,Necpime-1,VN-15336-12,"hộp 1 lọ, bột pha tiêm",Nectar lifesciene limited,India,Lọ,1500,45e3,675e5,G46. Codupha,BV Hữu Nghị,2,2016,national,2015-2016,C352,TRUE,Injection
353,Cefepime,1g,Muscef,VD-16486-12,"H/1 lọ, 10 lọ thuốc bột pha tiêm",Công ty CPDP Glomed,Vietnam,Lọ,1500,19500,2925e4,G70. Glomed,BV Hữu Nghị,5,2016,national,2015-2016,C353,TRUE,Injection
888,Cefoperazon,1g,Isavent,VD-21628-14,"Hộp 1 lọ, bột pha tiêm",Công ty cổ phần dược phẩm Am Vi - Việt Nam,Vietnam,Lọ,3e3,12350,3705e4,Công ty cổ phần Xuất Nhập khẩu Y tế thành phố Hồ Chí Minh,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C354,TRUE,Injection
8293,Cefoperazon,1g,Zeefora Inj,"VN-18416-
14",Hộp 10 lọ,Dai Han Pharm,Korea,Lọ,8210,29890,245396900,DP Âu Việt,BV Thống Nhất,2,2016,national,2015-2016,C357,TRUE,"NA"
358,Cefotaxime,1g,Cefotaxone 1g,VD-23776-15,"Hộp 10 lọ, thuốc tiêm bột, tiêm",Bidiphar,Vietnam,Lọ,500,6636,3318e3,G63. Bình Định,BV Hữu Nghị,3,2016,national,2015-2016,C358,TRUE,Injection
359,Ceftazidime,1g,Ceftazidime 1g,VD-13447-10,Hộp 1 lọ,Công ty CPDP Minh Dân,Vietnam,Lọ,2e3,12117,24234e3,G69. Minh Dân,BV Hữu Nghị,5,2016,national,2015-2016,C359,TRUE,"NA"
360,Ceftazidime,1g,Zidimbiotic 1000,VD-19012-13,Hộp 10 lọ; bột pha tiêm,Công ty CPDP Tenamyd - CSNQ: Labesfal Laboratorios,Vietnam,Lọ,2e3,23e3,46e6,G37. Medipharco Tenamyd,BV Hữu Nghị,2,2016,national,2015-2016,C360,TRUE,Injection
362,Ceftizoxime,1g,Ceftibiotic 1000,VD-23016-15,"Hộp 10 lọ, bột pha tiêm",Công ty CPDP Tenamyd,Vietnam,Lọ,2e4,62500,125e7,G37. Medipharco Tenamyd,BV Hữu Nghị,2,2016,national,2015-2016,C362,TRUE,Injection
363,Ceftizoxime,1g,Midazoxim 1g,VD-20452-14,Hộp 1 lọ,Công ty CPDP Minh Dân,Vietnam,Lọ,5e3,22680,1134e5,G69. Minh Dân,BV Hữu Nghị,3,2016,national,2015-2016,C363,TRUE,"NA"
364,Ceftriaxone,1g,Tercef 1g,VN-17628-14,Hộp 5 lọ,Balkanpharma Razgrad AD,Bulgary,Lọ,8e3,22890,18312e4,G42. Thăng Long,BV Hữu Nghị,1,2016,national,2015-2016,C364,TRUE,"NA"
365,Cefuroxime,250mg,Xorimax Tab 250mg 10's,VN-18958-15,Hộp 1 vỉ x 10 viên; Viên nén bao phim; Uống,Sandoz GmbH,Austria,Viên,1e4,7219,7219e4,G17. DL TW2,BV Hữu Nghị,1,2016,national,2015-2016,C365,TRUE,Oral
366,Ciprofloxacin,200mg/100ml,Aristin-C,VN-15021-12,Hộp 1 lọ 100ml,Anfarm Hellas S.A,Greece,Lọ,15e3,61e3,915e6,G76. Thành An,BV Hữu Nghị,1,2016,national,2015-2016,C366,TRUE,"NA"
367,Ciprofloxacin,200mg/100ml,CIPROFLOXACIN KABI,VD - 20943 -14,Hộp 1 chai 100ml,Fresenius Kabi Bidiphar,Vietnam,Chai Thủy Tinh,3e4,17640,5292e5,G43. Harphaco,BV Hữu Nghị,3,2016,national,2015-2016,C367,TRUE,Injection
368,Ciprofloxacin,200mg/100ml,Biocip,VN-9620-10 (Giấy biên nhận  hồ sơ đăng ký lại ngày 15/04/2015),96 chai/kiện,Claris,India,Lọ,3e4,12600,378e6,G22. CPC1,BV Hữu Nghị,2,2016,national,2015-2016,C368,TRUE,Injection
369,Ciprofloxacin,500mg,Ciprofloxacin 500mg,VD-22942-15,Hộp 10 vỉ x 10 viên,Công ty CPDP Minh Dân,Vietnam,Viên,1e4,492,492e4,G69. Minh Dân,BV Hữu Nghị,3,2016,national,2015-2016,C369,TRUE,Oral
370,Ciprofloxacin,0.3%-5ml,"Ciprofloxacin 0,3%",VD-19322-13,"Hộp 1 lọ 5ml, dung dịch, nhỏ mắt, nhỏ tai",Bidiphar,Vietnam,Lọ,1e4,2709,2709e4,G63. Bình Định,BV Hữu Nghị,3,2016,national,2015-2016,C370,TRUE,Ocular/Otic route
371,Roxithromycin,500mg,CLARIVIDI 500,VD-21914-14,Hộp 2 vỉ x 10 v.b.p,Vidipha,Vietnam,Viên,15e3,2706.9,40603500,G58. Vidipha,BV Hữu Nghị,3,2016,national,2015-2016,C371,TRUE,Oral
373,Doxycycline,100mg,Doxycyclin 100,VD-16864-12,Hộp 10 vỉ x 10 viên,Cty CPDP Cửu Long,Vietnam,Viên,5e3,279,1395e3,G38. Cửu Long,BV Hữu Nghị,3,2016,national,2015-2016,C373,TRUE,Oral
374,Roxithromycin,250mg,ERYTHROMYCIN 250MG,VD-21374-14,Hộp 10 vỉ x 10 v.b.p,Vidipha,Vietnam,Viên,2e5,684.6,13692e4,G58. Vidipha,BV Hữu Nghị,3,2016,national,2015-2016,C374,TRUE,Oral
376,Gentamicin,80mg/2ml,Gentamycin 80mg,VD-11227-10,H/10 ống,HD Pharma,Vietnam,Ống,25e3,1100,275e5,G66. Dược Mỹ phẩm,BV Hữu Nghị,3,2016,national,2015-2016,C376,TRUE,"NA"
379,Levofloxacin,500mg/100ml,Lobitzo,VN-12959-11,1 lọ/hộp,Rotex,Germany,Lọ,15e3,87150,130725e4,G22. CPC1,BV Hữu Nghị,1,2016,national,2015-2016,C379,TRUE,"NA"
380,Levofloxacin,500mg/100ml,Levobac IV Infusion,VN-19449-15,Hộp 1 túi hoặc 10 túi 100ml,Popular Infusion Ltd,Bangladesh,Túi,15e3,27e3,405e6,G01. Vipharco,BV Hữu Nghị,5,2016,national,2015-2016,C380,TRUE,"NA"
381,Levofloxacin,750mg/150ml,Getzlox 750mg IV,VN-9223-09,"Hộp 1 lọ, Dung dịch tiêm, Tiêm",Getz Pharma,Pakistan,Chai,3e3,7e4,21e7,G65. Hoàng Đức,BV Hữu Nghị,5,2016,national,2015-2016,C381,TRUE,Injection
382,Metronidazole,250mg,Metronidazol 250mg,VD-22945-15,Hộp 10 vỉ x 10 viên,Công ty CPDP Minh Dân,Vietnam,Viên,7e4,120,84e5,G69. Minh Dân,BV Hữu Nghị,3,2016,national,2015-2016,C382,TRUE,Oral
383,Metronidazole,500mg,METRONIDAZOL KABI,VD-12493-10 kèm theo quyết định số 18062/QLD-ĐK ngày 25/09/2015 về việc gia hạn hiệu lực số đăng ký thuốc,Hộp 1 chai 500mg/100ml,Fresenius Kabi Bidiphar,Vietnam,Chai Nhựa Ppkb,15e3,9240,1386e5,G43. Harphaco,BV Hữu Nghị,3,2016,national,2015-2016,C383,TRUE,Injection
386,Ofloxacin,0.3%-5ml,Biloxcin Eye,VD-15376-11,"Hộp 10 lọ x 5ml, dung dịch, nhỏ mắt",Bidiphar,Vietnam,Lọ,3e4,4179,12537e4,G63. Bình Định,BV Hữu Nghị,3,2016,national,2015-2016,C386,TRUE,Ocular/Otic route
387,Ofloxacin,200mg,Ofloxacin 200mg,VD-15528-11,"Hộp 10vỉ x 10 viên bao phim, Viên bao phim, Uống",Mekophar,Vietnam,Viên,15e4,398,597e5,G44. Mekophar,BV Hữu Nghị,3,2016,national,2015-2016,C387,TRUE,Oral
388,Oxacillin,1g,Oxacillin 1g,VD-16216-12,"Hộp 1 lọ + 1 ống dung môi 5ml, thuốc tiêm bột, tiêm",Bidiphar,Vietnam,Lọ,1e3,15288,15288e3,G63. Bình Định,BV Hữu Nghị,5,2016,national,2015-2016,C388,TRUE,Injection
392,Tetracycline,1%-5g,Tetracyclin,VD-12463-10,Hộp/100 tube 5g Mỡ Tra mắt,Medipharco-Tenamyd BR s.r.l,Vietnam,Tube,1e4,2415,2415e4,G37. Medipharco Tenamyd,BV Hữu Nghị,3,2016,national,2015-2016,C392,TRUE,Ocular/Otic route
393,Tetracycline,500mg,Tetracyclin,VD-14732-11,Hộp 40 vỉ x 10 viên nang,Cty CPDP Hà Tây,Vietnam,Viên,1e3,440,44e4,G59. Hà Tây,BV Hữu Nghị,3,2016,national,2015-2016,C393,TRUE,Oral
398,Vancomycin,1g,Valacin 1000,VN-18787-15,1 lọ/hộp,Laboratoria Reig Jofre,Spain,Lọ,3e3,103500,3105e5,G22. CPC1,BV Hữu Nghị,1,2016,national,2015-2016,C398,TRUE,"NA"
656,Chloramphenicol,0.4%-10ml,Cloramphenicol 4% 8ml,VD-11223-10,H/1lọ 8ml,HD Pharma,Vietnam,Lọ,15e3,1300,195e5,G66. Dược Mỹ phẩm,BV Hữu Nghị,3,2016,national,2015-2016,C656,TRUE,"NA"
763,Cefazolin,1g,Cefazolin Actavis,VN-10713-10,Hộp 10 lọ Bột pha tiêm,Balkanpharma Razgrad AD,Bulgary,Lọ,3e3,21e3,63e6,G67. Phú Thái,BV Hữu Nghị,1,2016,national,2015-2016,C763,TRUE,Injection
764,Cefotaxime,1g,Tarcefoksym 1g,VN-18105-14,1 lọ/hộp,Tarchomin,Poland,Lọ,500,22100,1105e4,G22. CPC1,BV Hữu Nghị,1,2016,national,2015-2016,C764,TRUE,"NA"
765,Chloramphenicol,1g,Cloramphenicol 1g,VD-19466-13,"Hộp 25 lọ, bột pha tiêm, tiêm",Pharbaco,Vietnam,Lọ,100,9681,968100,G71. Pharbaco,BV Hữu Nghị,3,2016,national,2015-2016,C765,TRUE,Injection
768,Ofloxacin,0.3%-3.5g,Ofleye,VD-19587-13,Hộp 1 tuýp 5 gram,Công ty cổ phần dược TW Medipharco - Tenamyd,Vietnam,Tube,5e3,15e3,75e6,G27. Trí Việt,BV Hữu Nghị,3,2016,national,2015-2016,C768,TRUE,"NA"
769,Tinidazole,500mg/100ml,TINIDAZOL KABI,VD - 19570-13,Hộp 1 chai x 100ml,Fresenius Kabi Bidiphar,Vietnam,Chai,500,24150,12075e3,G43. Harphaco,BV Hữu Nghị,5,2016,national,2015-2016,C769,TRUE,Injection
770,Streptomycin,1g,Streptomycin 1g,VD-15830-11,"Hộp 50 lọ, bột pha tiêm, tiêm",Pharbaco,Vietnam,Lọ,2500,3600,9e6,G71. Pharbaco,BV Hữu Nghị,3,2016,national,2015-2016,C770,TRUE,Injection
852,Amikacin,500mg/2ml,Itamekacin,VD-18570-13,"Hộp 5 lọ x 2ml, Dung dịch tiêm, Tiêm","Công ty TNHH sản xuất dược phẩm  Medlac Pharma Italy,  Việt Nam",Vietnam,Lọ,500,8999,4499500,CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM VẠN XUÂN,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C852,TRUE,Injection
853,Amikacin,500mg/2ml,Vinphacine,VD-16308-12,"Hộp 10 ống, DD tiêm, tiêm",Vinphaco- Việt Nam,Vietnam,Lọ,300,9450,2835e3,Công ty Cổ phần Dược phẩm Vĩnh Phúc,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C853,TRUE,Injection
875,Roxithromycin,250mg,Zithromax Cap 250mg 1x6 s,VN-18403-14,"1 vỉ x 6 viên/ hộp, viên nang, uống","Pfizer Australia Pty. Ltd, Úc",Australia,Viên,1800,44910,80838e3,Công ty TNHH Một thành viên Dược liệu TW 2,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C875,TRUE,Oral
876,Roxithromycin,200mg/5ml-15ml,Zitromax Pos Sus 200mg5ml 15ml,VN-13300-11,"Lọ, bột pha hỗn dịch uống , uống","Haupt Pharma Latina Srl, Ý",Italy,Lọ,600,115988,69592800,Công ty TNHH Một thành viên Dược liệu TW 2,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C876,TRUE,Oral
877,Roxithromycin,500mg,Zitromax Tab 500mg 3 s,VN-11235-10,"1 vỉ x 3 viên/ hộp, Viên nén bao phim, uống","Haupt Pharma Latina Srl, Ý",Italy,Viên,2400,89820,215568e3,Công ty TNHH Một thành viên Dược liệu TW 2,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C877,TRUE,Oral
878,Cefaclor,250mg,Ceclor Cap 250mg 12 s,VN-17626-14,"Hộp 1 vỉ x 12 viên, viên nang cứng, uống","Facta Farmaceutici SPA - Ý, Ý",Italy,Viên,2e3,13892,27784e3,Công ty TNHH Một thành viên Dược liệu TW 2,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C878,TRUE,Oral
879,Cefaclor,125mg - 60ml,Ceclor Sus 125mg 60ml,VN-15935-12,"Hộp 1 lọ 60ml, Cốm pha hỗn dịch uống, uống","Facta Farmaceutici SPA - Ý, Ý",Italy,Chai,150,97100,14565e3,Công ty TNHH Một thành viên Dược liệu TW 2,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C879,TRUE,Oral
880,Cefaclor,375mg,Ceclor Tabs 375mg 10 s,VN-16796-13,"Hộp 1 vỉ x 10 viên, Viên nén bao phim giải phóng chậm, uống","Facta Farmaceutici SPA - Ý, Ý",Italy,Viên,1500,18860,2829e4,Công ty TNHH Một thành viên Dược liệu TW 2,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C880,TRUE,Oral
881,Cefamandole,1g,Vicimadol,VD-18407-13,"Hộp 10 lọ, thuốc  bột pha tiêm, IM/IV","VCP -
 Việt Nam",Vietnam,Lọ,4e3,20200,808e5,Công ty cổ phần dược phẩm VCP,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C881,TRUE,Injection
882,Cefamandole,1g,Tarcefandol,VN-17603-13,"Hộp 1 lọ, bột pha tiêm, Tiêm",Tarchomin Pharmaceutical Works Polfa S.A. Ba Lan,Poland,Lọ,24e3,67e3,1608e6,Công ty TNHH Thương mại Dược phẩm Âu Việt,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C882,TRUE,Injection
883,Cefdinir,100mg,Omnicef Cap 100mg 100 s,VN-14303-11,"10 vỉ x 10 viên/ hộp, Viên nang, uống","Interphil Laboratories Inc, Phillipines",Philippines,Viên,600,14364,8618400,Công ty TNHH Một thành viên Dược liệu TW 2,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C883,TRUE,Oral
884,Cefepime,1g,Cefepim 1g,VD-15012-11,"Hộp 10 lọ, thuốc  bột pha tiêm, IM/IV","VCP -
 Việt Nam",Vietnam,Lọ,3500,19500,6825e4,Công ty cổ phần dược phẩm VCP,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C884,TRUE,Injection
885,Cefepime,1g,Cefepim 1g,VD-15012-11,"Hộp 10 lọ, thuốc  bột pha tiêm, IM/IV","VCP -
 Việt Nam",Vietnam,Lọ,600,19500,117e5,Công ty cổ phần dược phẩm VCP,BV Tai Mũi Họng TW,1,2016,national,2015-2016,C885,TRUE,Injection
